customer_id,customer_code,first_name,last_name,email,phone,city,state,country,segment,signup_date
1,CUST00001,Cust1,User,cust1@gmail.com,9896233790,Delhi,Delhi,India,Corporate,2021-02-21
2,CUST00002,Cust2,User,cust2@gmail.com,9249827706,Kolkata,West Bengal,India,Home Office,2022-04-03
3,CUST00003,Cust3,User,cust3@gmail.com,9734036506,Delhi,Delhi,India,Corporate,2021-06-28
4,CUST00004,Cust4,User,cust4@gmail.com,9200604502,Mumbai,Maharashtra,India,Consumer,2021-03-03
5,CUST00005,Cust5,User,cust5@gmail.com,9746412689,Kolkata,West Bengal,India,Consumer,2023-11-01
6,CUST00006,Cust6,User,cust6@gmail.com,9336696312,Kolkata,West Bengal,India,Corporate,2023-05-10
7,CUST00007,Cust7,User,cust7@gmail.com,9914763202,Chennai,Tamil Nadu,India,Consumer,2021-01-14
8,CUST00008,Cust8,User,cust8@gmail.com,9398362082,Hyderabad,Telangana,India,Consumer,2022-11-28
9,CUST00009,Cust9,User,cust9@gmail.com,9209747451,Kolkata,West Bengal,India,Consumer,2022-11-21
10,CUST00010,Cust10,User,cust10@gmail.com,9485451171,Hyderabad,Telangana,India,Corporate,2021-07-18
11,CUST00011,Cust11,User,cust11@gmail.com,9883543540,Chennai,Tamil Nadu,India,Corporate,2021-03-30
12,CUST00012,Cust12,User,cust12@gmail.com,9184611066,Delhi,Delhi,India,Home Office,2023-02-15
13,CUST00013,Cust13,User,cust13@gmail.com,9719927151,Chennai,Tamil Nadu,India,Consumer,2023-01-11
14,CUST00014,Cust14,User,cust14@gmail.com,9810026086,Delhi,Delhi,India,Consumer,2021-04-04
15,CUST00015,Cust15,User,cust15@gmail.com,9349957310,Chennai,Tamil Nadu,India,Consumer,2021-06-13
16,CUST00016,Cust16,User,cust16@gmail.com,9586845604,Hyderabad,Telangana,India,Home Office,2022-07-24
17,CUST00017,Cust17,User,cust17@gmail.com,9497478786,Pune,Maharashtra,India,Corporate,2021-11-30
18,CUST00018,Cust18,User,cust18@gmail.com,9853573823,Kolkata,West Bengal,India,Home Office,2022-07-01
19,CUST00019,Cust19,User,cust19@gmail.com,9673528321,Delhi,Delhi,India,Home Office,2021-12-17
20,CUST00020,Cust20,User,cust20@gmail.com,9596348124,Kolkata,West Bengal,India,Corporate,2021-12-01
21,CUST00021,Cust21,User,cust21@gmail.com,9835098955,Chennai,Tamil Nadu,India,Corporate,2022-03-26
22,CUST00022,Cust22,User,cust22@gmail.com,9982403818,Mumbai,Maharashtra,India,Consumer,2022-04-15
23,CUST00023,Cust23,User,cust23@gmail.com,9387484583,Pune,Maharashtra,India,Consumer,2023-04-02
24,CUST00024,Cust24,User,cust24@gmail.com,9328306011,Kolkata,West Bengal,India,Home Office,2022-10-07
25,CUST00025,Cust25,User,cust25@gmail.com,9790256940,Jaipur,Rajasthan,India,Corporate,2023-03-22
26,CUST00026,Cust26,User,cust26@gmail.com,9249926919,Bengaluru,Karnataka,India,Consumer,2022-06-27
27,CUST00027,Cust27,User,cust27@gmail.com,9726563708,Chennai,Tamil Nadu,India,Corporate,2023-05-28
28,CUST00028,Cust28,User,cust28@gmail.com,9248532577,Pune,Maharashtra,India,Home Office,2022-03-26
29,CUST00029,Cust29,User,cust29@gmail.com,9911514914,Jaipur,Rajasthan,India,Consumer,2021-07-06
30,CUST00030,Cust30,User,cust30@gmail.com,9773715057,Delhi,Delhi,India,Consumer,2021-11-10
31,CUST00031,Cust31,User,cust31@gmail.com,9513140753,Hyderabad,Telangana,India,Corporate,2021-05-11
32,CUST00032,Cust32,User,cust32@gmail.com,9369953851,Jaipur,Rajasthan,India,Home Office,2023-12-20
33,CUST00033,Cust33,User,cust33@gmail.com,9831980933,Mumbai,Maharashtra,India,Home Office,2021-08-23
34,CUST00034,Cust34,User,cust34@gmail.com,9219778234,Chennai,Tamil Nadu,India,Corporate,2022-11-28
35,CUST00035,Cust35,User,cust35@gmail.com,9587182120,Hyderabad,Telangana,India,Consumer,2021-11-20
36,CUST00036,Cust36,User,cust36@gmail.com,9918150683,Chennai,Tamil Nadu,India,Consumer,2023-10-23
37,CUST00037,Cust37,User,cust37@gmail.com,9786066793,Delhi,Delhi,India,Home Office,2022-09-04
38,CUST00038,Cust38,User,cust38@gmail.com,9501486939,Kolkata,West Bengal,India,Consumer,2021-11-10
